Loan_Id,Loan_Amount,Customer_Id,Interest_rate,Status
8426001,3210,23937402,1.03,Approved
8426002,21970,94134339,6.6,Pending
8426003,43330,51556721,0.88,Approved
8426004,10701,45140931,7.52,Approved
8426005,48143,31505217,7.19,Rejected
8426006,46266,13072225,5.45,Approved
8426007,14244,68481309,7.31,Approved
8426008,27969,29493950,2.11,Pending
8426009,41473,82134230,6.06,Approved
8426010,11304,34834312,4.34,Pending
8426011,29782,78793958,1.42,Pending
8426012,28974,62118984,0.34,Approved
8426013,47450,77776270,6.78,Pending
8426014,6065,80219106,4.54,Rejected
8426015,18090,70699306,1.1,Rejected
8426016,4767,37152186,2.78,Rejected
8426017,23799,83482951,0.65,Pending
8426018,7825,81945817,2.71,Pending
8426019,41552,62872619,1.21,Approved
8426020,36242,58517414,3.16,Approved
8426021,28874,90398784,3.61,Pending
8426022,41360,31144734,2.38,Approved
8426023,39365,10506052,7.41,Rejected
8426024,48237,87725366,1.64,Approved
8426025,47737,38748520,2.16,Approved
8426026,42840,52223199,4.41,Pending
8426027,41998,30948277,3.36,Approved
8426028,47749,17352774,3.12,Approved
8426029,2020,58166373,2.02,Approved
8426030,45947,27995168,6.18,Rejected
8426031,12714,23312058,2.32,Pending
8426032,19384,94697738,2.65,Pending
8426033,18932,82034089,2.56,Approved
8426034,39705,73232404,1.41,Pending
8426035,36806,33592462,5.72,Rejected
8426036,4815,34007488,1.84,Rejected
8426037,27643,85117528,0,Pending
8426038,49431,22218164,7.35,Pending
8426039,46210,46830857,7.72,Approved
8426040,29054,16131156,5.43,Approved
8426041,48374,36554819,2.69,Approved
8426042,48932,29635653,7.9,Rejected
8426043,22920,62580228,3.75,Pending
8426044,30087,22835747,6.83,Pending
8426045,42194,89475370,3.19,Rejected
8426046,1354,21760818,2.31,Rejected
8426047,23370,13751414,1.15,Pending
8426048,12730,55416618,2.47,Rejected
8426049,31330,93807926,2.99,Approved
8426050,19663,62769156,5.53,Rejected
8426051,15814,26010695,6.03,Rejected
8426052,28274,65146411,5.97,Pending
